T (°C),alpha (% 1/W)
75,0.871096404447477
75.5,1.07686379670065
75.5,1.06291343813162
76,1.11314851601647
76.5,0.992267059078731
76.3,1.07723916999814
77,0.786532161108231
77,0.774726800341128
78.5,0.170048922584104
80,0.0430870434348302
72.5,0.0923379981122009
73.5,0.196775931218395
74,0.342415016587725
74.5,0.396825396825397
74.8,0.389739229024943
69,0.0139852441129954
